repeat,fold,algo,auc,best,spec
3,8,logistic,0.7083548664944014,"{""clf__C"": 0.1}",M1
3,9,logistic,0.8179155900086132,"{""clf__C"": 0.1}",M1
4,0,logistic,0.7747948016415869,"{""clf__C"": 0.1}",M1
4,1,logistic,0.8180574555403556,"{""clf__C"": 0.1}",M1
4,2,logistic,0.8221614227086184,"{""clf__C"": 0.1}",M1
4,3,logistic,0.7424242424242424,"{""clf__C"": 0.1}",M1
4,4,logistic,0.7936261843238587,"{""clf__C"": 0.1}",M1
4,5,logistic,0.8325581395348837,"{""clf__C"": 0.1}",M1
4,6,logistic,0.7924203273040482,"{""clf__C"": 0.1}",M1
4,7,logistic,0.7448751076658053,"{""clf__C"": 0.1}",M1
4,8,logistic,0.7915590008613265,"{""clf__C"": 0.1}",M1
4,9,logistic,0.7631352282515074,"{""clf__C"": 0.1}",M1
0,0,random_forest,0.7906976744186046,"{""clf__min_samples_leaf"": 10}",M1
0,1,random_forest,0.8237004103967169,"{""clf__min_samples_leaf"": 10}",M1
0,2,random_forest,0.8064295485636115,"{""clf__min_samples_leaf"": 10}",M1
0,3,random_forest,0.731986531986532,"{""clf__min_samples_leaf"": 10}",M1
0,4,random_forest,0.7963824289405684,"{""clf__min_samples_leaf"": 10}",M1
0,5,random_forest,0.8296296296296296,"{""clf__min_samples_leaf"": 10}",M1
0,6,random_forest,0.7526270456503015,"{""clf__min_samples_leaf"": 10}",M1
0,7,random_forest,0.7328165374677001,"{""clf__min_samples_leaf"": 10}",M1
0,8,random_forest,0.7652024117140396,"{""clf__min_samples_leaf"": 10}",M1
0,9,random_forest,0.7434969853574505,"{""clf__min_samples_leaf"": 10}",M1
1,0,random_forest,0.850547195622435,"{""clf__min_samples_leaf"": 10}",M1
1,1,random_forest,0.8083105335157319,"{""clf__min_samples_leaf"": 10}",M1
1,2,random_forest,0.7845417236662107,"{""clf__min_samples_leaf"": 10}",M1
1,3,random_forest,0.7430976430976431,"{""clf__min_samples_leaf"": 10}",M1
1,4,random_forest,0.8068906115417743,"{""clf__min_samples_leaf"": 10}",M1
1,5,random_forest,0.7803617571059432,"{""clf__min_samples_leaf"": 10}",M1
1,6,random_forest,0.821188630490956,"{""clf__min_samples_leaf"": 10}",M1
1,7,random_forest,0.7383290267011198,"{""clf__min_samples_leaf"": 10}",M1
